 IPMSB_GD_R102        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails    1983/3064 Selected Drills           16-Oct-2010 11:01
                       2054 Nails, 2213 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$119       2.023     2.989   2  F2   (B)  #851  SATA_RXP2        V VIA .
$120       1.992     3.072   2  F2   (B)  #1187 SATA3COMP        V VIA .
$121       2.052     3.121   2  F2   (B)  #675  PCH_CLKIN_BCLK_GND0# V VIA .
$122       2.208     3.170   2  F2   (B)  #566  CK_100M_CPUXDP#  V VIA .
$123       2.182     3.236   2  F2   (B)  #564  CK_100M_CPUXDP   V VIA .
$124       2.096     3.227   2  F2   (B)  #676  PCH_CLKIN_BCLK_GND0 V VIA .
$125       1.931     3.324   1  F2   (B)  #839  SATA_TXN1        V VIA .
$126       1.814     3.331   1  F2   (B)  #863  SATA_TXN4        V VIA .
$127       1.644     3.321   2  F2   (B)  #1894 TP_CL_DATA1      V PIN ST22.1
$128       1.594     3.273   2  F2   (B)  #1893 TP_CL_CLK1       V PIN ST21.1
$129       1.688     3.188   1  F2   (B)  #702  SATA1GP_GPIO19   V VIA .
$130       1.616     3.110   2  F2   (B)  #49   SUSCLK_GPIO62    V VIA .
$131       1.666     3.062   2  F2   (B)  #674  BATLOW#_GPIO72   V VIA .
$132       1.670     2.864   2  F2   (B)  #703  SATA2GP_GPIO36   V VIA .
$133       1.694     2.799   2  F2   (B)  #701  BOARD_ID_3       V VIA .
$134       1.605     2.764   1  F2   (B)  #524  PCIECLKRQ6#_GPIO45 V VIA .
$135       1.568     2.942   2  F2   (B)  #124  SYS_RESET#       V VIA .
$136       1.462     2.964   1  F2   (B)  #284  PCH_JTAG_TCK     V VIA .
$137       1.350     3.005   1  F2   (B)  #525  INIT3_3V#        V VIA .
$138       1.241     3.032   2  F1   (B)  #460  FRONTFAN_34PIN   V VIA .
$139       1.410     3.142   2  F2   (B)  #1904 TP_GPIO15        V PIN ST45.1
$140       1.422     3.063   1  F2   (B)  #272  RI               V VIA .
$141       1.508     3.083   2  F2   (B)  #704  SATA3GP_GPIO37   V VIA .
$142       1.479     3.147   2  F2   (B)  #670  STP_PCI#_GPIO34  V VIA .
$143       1.490     3.240   2  F2   (B)  #1905 TP_GPIO28        V PIN ST49.1
$144       1.503     3.310   2  F2   (B)  #1911 TP_PCH_SLP_S5#   V PIN ST35.1
$145       1.387     3.228   1  F2   (B)  #515  PCIECLKRQ5#_GPIO44 V VIA .
$146       1.244     3.258   1  F1   (B)  #1910 TP_PCH_SLP_A#    V PIN ST50.1
$147       1.286     3.338   1  F2   (B)  #330  OC67#            V VIA .
$148       1.383     3.380   2  E2   (B)  #673  GPIO31           V VIA .
$149       1.403     3.450   2  E2   (B)  #672  GPIO27           V VIA .
$150       1.311     3.563   1  E2   (B)  #526  PCH_INTVRMEN     V VIA .
$151       1.582     3.540   1  E2   (B)  #1895 TP_CL_RST1#      V PIN ST23.1
$152       1.575     3.857   1  E2   (B)  #671  LPC_PME#         V VIA .
$153       1.371     3.892   1  E2   (B)  #1909 TP_PCH_SDIN3     V PIN ST32.1
$154       1.360     4.150   2  E2   (B)  #1859 PCH_GNT2         V PIN ST27.1
$155       1.260     4.135   1  E2   (B)  #697  N25413913        V VIA .
$156       1.310     4.234   1  E2   (B)  #389  PCH_CLKOUT_PCI1  V VIA .
$157       1.254     4.403   2  E2   (B)  #957  N21346669        V VIA .
$158       1.361     4.415   2  E2   (B)  #969  N21346690        V VIA .
$159       1.410     4.464   2  E2   (B)  #954  N21346667        V VIA .
$160       1.479     4.459   2  E2   (B)  #951  N21346678        V VIA .
$161       1.555     4.500   2  E2   (B)  #953  N21346686        V VIA .
$162       1.592     4.423   1  E2   (B)  #926  PCH_CLKOUTFLEX1_48M_SIO V VIA .
$163       1.564     4.332   2  E2   (B)  #1860 PCH_GNT3         V PIN ST26.1
$164       1.495     4.339   2  E2   (B)  #966  N21346687        V VIA .
$165       1.441     4.293   2  E2   (B)  #967  SU1_DEVSEL#      V VIA .
$166       1.538     4.265   2  E2   (B)  #950  N21346681        V VIA .
$167       1.633     4.282   2  E2   (B)  #1858 PCH_GNT1         V PIN ST28.1
$168       1.628     4.206   2  E2   (B)  #968  N21346691        V VIA .
$169       1.533     4.166   1  E2   (B)  #1861 TP_SU1_BH8       V PIN ST31.1
$170       1.636     4.072   2  E2   (B)  #1857 PCH_GNT0         V PIN ST29.1
$171       1.703     4.102   2  E2   (B)  #1862 TP_SU1_AV14      V PIN ST30.1
$172       1.748     4.161   2  E2   (B)  #386  PCH_CLKOUT_PCI0  V VIA .
$173       1.810     4.115   2  E2   (B)  #1928 CLKOUTFLEX0_GPIO64 V PIN ST57.1
$174       1.747     3.947   1  E2   (B)  #388  PCH_CLKOUT_PCI4  V VIA .
$175       1.860     4.019   2  E2   (B)  #2017 TP_PCH_VDD_EN    V PIN ST82.1
